FIPS,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,state_abbr,county_name,,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
1001,5908,18110,24661,0.23956855,0.734357893,12202,-0.494789343,AL,Autauga County,,23909,6354,17366,0.265757664,0.726337362,11012,-0.460579698
1003,18409,72780,94090,0.195653098,0.77351472,54371,-0.577861622,AL,Baldwin County,,84988,18329,65772,0.215665741,0.773897491,47443,-0.55823175
1005,4848,5431,10390,0.466602502,0.522714148,583,-0.056111646,AL,Barbour County,,11459,5873,5539,0.512522908,0.483375513,334,0.029147395
1007,1874,6733,8748,0.214220393,0.769661637,4859,-0.555441244,AL,Bibb County,,8391,2200,6131,0.262185675,0.730663806,3931,-0.468478131
1009,2150,22808,25384,0.084699023,0.898518752,20658,-0.813819729,AL,Blount County,,23980,2961,20741,0.123477898,0.864929108,17780,-0.741451209
1011,3530,1139,4701,0.750904063,0.242288875,2391,0.508615188,AL,Bullock County,,5318,4058,1250,0.763068823,0.235050771,2808,0.528018052
1013,3716,4891,8685,0.427864134,0.563154865,1175,-0.135290731,AL,Butler County,,9483,4367,5081,0.460508278,0.535800907,714,-0.075292629
1015,13197,32803,47376,0.278558764,0.692396994,19606,-0.41383823,AL,Calhoun County,,46240,15500,30272,0.335207612,0.65467128,14772,-0.319463668
1017,5763,7803,13778,0.418275512,0.56633764,2040,-0.148062128,AL,Chambers County,,14562,6853,7596,0.470608433,0.521631644,743,-0.051023211
1019,1524,8809,10503,0.1451014,0.838712749,7285,-0.693611349,AL,Cherokee County,,9761,2126,7494,0.217805553,0.767749206,5368,-0.549943653
1021,2909,15068,18255,0.159353602,0.825417694,12159,-0.666064092,AL,Chilton County,,17434,3391,13910,0.19450499,0.797866238,10519,-0.603361248
1023,3109,4102,7268,0.427765548,0.564391855,993,-0.136626307,AL,Choctaw County,,7965,3785,4150,0.475204018,0.521029504,365,-0.045825487
1025,5712,7109,12936,0.441558442,0.549551639,1397,-0.107993197,AL,Clarke County,,13827,6317,7463,0.456859767,0.539741086,1146,-0.082881319
1027,1234,5230,6572,0.187766281,0.795800365,3996,-0.608034084,AL,Clay County,,6640,1770,4802,0.266566265,0.723192771,3032,-0.456626506
1029,684,5738,6532,0.104715248,0.878444581,5054,-0.773729333,AL,Cleburne County,,6302,971,5269,0.15407807,0.836083783,4298,-0.682005712
1031,4194,15825,20513,0.204455711,0.771462,11631,-0.567006289,AL,Coffee County,,19715,4899,14638,0.248490997,0.742480345,9739,-0.493989348
1033,7296,16718,24626,0.296272233,0.678875985,9422,-0.382603752,AL,Colbert County,,23374,9160,13931,0.391888423,0.596004107,4771,-0.204115684
